claims_text,claims_claimant,claims_claimDate,claims_claimReview_0_publisher_name,claims_claimReview_0_publisher_site,claims_claimReview_0_url,claims_claimReview_0_reviewDate,claims_claimReview_0_textualRating,claims_claimReview_0_languageCode,claims_claimReview_0_title
"""Google is helping to develop a website, it’s going to be very quickly done, unlike websites of the past, to determine whether a test is warranted and to facilitate testing at a nearby convenient location.”",Donald J. Trump,2020-03-13T00:00:00Z,The New York Times,nytimes.com,https://www.nytimes.com/2020/03/13/us/politics/fact-check-trump-coronavirus.html,2020-03-13T00:00:00Z,This is misleading.,en,Trump's False Claims About His Response to the Coronavirus
"On disbanding the White House's pandemic team: ""I didn’t do it. We have a group of people I could ask — perhaps my administration — but I could perhaps ask Tony about that because I don’t know anything about it.""",Donald J. Trump,2020-03-13T00:00:00Z,The New York Times,nytimes.com,https://www.nytimes.com/2020/03/13/us/politics/fact-check-trump-coronavirus.html,2020-03-13T00:00:00Z,This is misleading.,en,Trump's False Claims About His Response to the Coronavirus
"""I have waived interest that all student loans held by federal government agencies, and that will be until further notice.""",Donald J. Trump,2020-03-13T00:00:00Z,The New York Times,nytimes.com,https://www.nytimes.com/2020/03/13/us/politics/fact-check-trump-coronavirus.html,2020-03-13T00:00:00Z,This needs context.,en,Trump's False Claims About His Response to the Coronavirus
"""Europe was just designated as the hot spot right now and we closed that border a while ago.""",Donald J. Trump,2020-03-13T00:00:00Z,The New York Times,nytimes.com,https://www.nytimes.com/2020/03/13/us/politics/fact-check-trump-coronavirus.html,2020-03-13T00:00:00Z,This is misleading.,en,Trump's False Claims About His Response to the Coronavirus
"""If you go back to the swine flu, it was nothing like this. They didn’t do testing like this.""",Donald J. Trump,2020-03-13T00:00:00Z,The New York Times,nytimes.com,https://www.nytimes.com/2020/03/13/us/politics/fact-check-trump-coronavirus.html,2020-03-13T00:00:00Z,False.,en,Trump's False Claims About His Response to the Coronavirus
"""Telehealth, a fairly new and incredible thing that has happened in the not-so-distant past.""",Donald J. Trump,2020-03-13T00:00:00Z,The New York Times,nytimes.com,https://www.nytimes.com/2020/03/13/us/politics/fact-check-trump-coronavirus.html,2020-03-13T00:00:00Z,This is exaggerated.,en,Trump's False Claims About His Response to the Coronavirus
"Coronavirus issues were because ""we were given rules, regulations, and specifications from a different time.""",Donald J. Trump,2020-03-13T00:00:00Z,The New York Times,nytimes.com,https://www.nytimes.com/2020/03/13/us/politics/fact-check-trump-coronavirus.html,2020-03-13T00:00:00Z,FALSE,en,Trump's False Claims About His Response to the Coronavirus
Gargling water mixed with salt or vinegar eliminates the new coronavirus from your throat.,,,Full Fact,fullfact.org,https://fullfact.org/health/gargle-salt-vinegar-water-coronavirus/,2020-03-16T00:00:00Z,There is no evidence for this.,en,
Drinking lots of water will eliminate the new coronavirus from your throat.,,,Full Fact,fullfact.org,https://fullfact.org/health/gargle-salt-vinegar-water-coronavirus/,2020-03-16T00:00:00Z,There is no evidence for this. It is a common myth.,en,
"Coronavirus lives on the hands for 10 minutes, but can be prevented with alcohol hand sanitiser.",,,Full Fact,fullfact.org,https://fullfact.org/health/coronavirus-graphics-unicef/,2020-03-11T00:00:00Z,"It’s not clear how long the virus can ‘survive’ on hands, but hand sanitiser with at least 60% alcohol is a good second choice to washing your hands with soap and water.",en,
The new coronavirus does not settle in the air but is grounded so it is not transmitted by air.,,,Full Fact,fullfact.org,https://fullfact.org/health/coronavirus-graphics-unicef/,2020-03-11T00:00:00Z,The virus can spread via sneeze and cough droplets that can move a short distance through the air and into someone else’s system.,en,
Coronavirus lives for 12 hours on metal surfaces.,,,Full Fact,fullfact.org,https://fullfact.org/health/coronavirus-graphics-unicef/,2020-03-11T00:00:00Z,"We don’t know how long the virus can survive on surfaces yet, it could be between hours and days.",en,
The new coronavirus is 400-500 micro and for this reason wide enough to be stopped by masks.,Public,,Full Fact,fullfact.org,https://fullfact.org/health/coronavirus-graphics-unicef/,2020-03-11T00:00:00Z,"The virus is 50-200 nanometres wide, and a mask, although sometimes necessary, won’t guarantee that you don’t get Covid-19.",en,
"Coronavirus stays on fabric for 9 hours, so washing clothes or being exposed to the sun for two hours meets the purpose of killing it.",,,Full Fact,fullfact.org,https://fullfact.org/health/coronavirus-graphics-unicef/,2020-03-11T00:00:00Z,"We don’t know how long the virus can survive on fabric. There isn’t evidence that it can transmit from fabrics to people, though soiled clothing from Covid-19 patients should be washed normally.",en,
"If the new coronavirus is exposed to a temperature of 26-27ºC it will be killed, as it does not live in hot regions. Also drinking hot water and sun exposure will do the trick and staying away from ice cream and cold food is advised.",,,Full Fact,fullfact.org,https://fullfact.org/health/coronavirus-graphics-unicef/,2020-03-11T00:00:00Z,"There have been cases of Covid-19 in areas with warmer temperatures than this, and we don’t know what temperatures the virus can withstand. There’s no evidence that hot water and the sun will cure it or that staying away from cold food can prevent it.",en,
Gargling with warm and salt water kills germs on the tonsils and prevents them from leaking into the lungs.,,,Full Fact,fullfact.org,https://fullfact.org/health/coronavirus-graphics-unicef/,2020-03-11T00:00:00Z,There’s no evidence gargling with saline will cure or prevent Covid-19.,en,
"China was the first place to have over 100,000 5G towers.",,,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-5G/,2020-03-13T00:00:00Z,"While it is true that China has over 100,000 towers, it is unclear if it was the first place to pass this number.",en,
The new coronavirus is actually the impact of 5G exposure.,,,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-5G/,2020-03-13T00:00:00Z,"This is incorrect, the new coronavirus is a virus and there is no evidence that 5G is harmful to people’s health.",en,
5G is harmful to humans.,,,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-5G/,2020-03-13T00:00:00Z,There is no evidence that 5G can harm people.,en,
Bill Gates created the new coronavirus and a vaccine for it.,,,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-5G/,2020-03-13T00:00:00Z,"This is incorrect. The Bill Gates and Melinda Gates Foundation has funded a research institute that has a patent to a different coronavirus.  Coronavirus is a large category of viruses that includes the common cold, SARS and the new virus that causes Covid-19.",en,
"Symptoms of Covid-19 include nausea, hair loss, bone marrow damage.",,,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-5G/,2020-03-13T00:00:00Z,"This is incorrect. Symptoms have been reported as including fever, coughing and shortness of breath.",en,
"""Take a few sips of water every 15 minutes at least ... drinking water or other liquids will wash"" the coronavirus ""down through your throat and into the stomach. Once there, your stomach acid will kill all the virus.""",Social media posts,2020-03-12T00:00:00Z,FactCheck.org,factcheck.org,https://www.factcheck.org/2020/03/viral-social-media-posts-offer-false-coronavirus-tips/,,FALSE,en,Viral Social Media Posts Offer False Coronavirus Tips
"Coronavirus may have been genetically engineered for “efficient spreading in the human population,” a bombshell new study has claimed.",,,Full Fact,fullfact.org,https://fullfact.org/health/new-coronavirus-not-genetically-engineered/,2020-03-11T00:00:00Z,"This is wrong and the study does not claim the new coronavirus has been genetically engineered. It simply compares the genome sequence of SARS-CoV-2 with other coronaviruses, and suggests a reason why it might be spreading relatively efficiently.",en,
"If the new coronavirus gets into your mouth, drinking water or other liquids will wash them down through the oesophagus. Once they’re in the stomach, the acid will kill the virus. If you don't drink enough water more regularly, the virus can enter your windpipes and into the lungs.",,,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-water-breath-test-bad-advice/,2020-03-13T00:00:00Z,This is incorrect. Drinking water does not prevent an infection and there have been cases where the virus has survived in the stomach and affected people’s intestines.,en,
"To test for the new coronavirus, take a deep breath and hold for more than 10 seconds. If you complete it successfully without coughing, discomfort, stuffiness or tightness it proves there is no fibrosis in the lungs, basically indicating no infection.",,,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-water-breath-test-bad-advice/,2020-03-13T00:00:00Z,There is no evidence to suggest this test can show if you have the new coronavirus.,en,
"Coronaviruses can live on surfaces for up to 28 days, so you should be careful if you receive a package from China.",Facebook user,2020-01-27T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-surfaces-packages-china/,2020-03-11T00:00:00Z,There is currently no evidence that this virus can survive on surfaces that long. Most other coronaviruses do not. Current health advice suggests the risk of contracting the virus from a package is very low.,en,
Using a hair dryer to breathe in hot air can cure COVID-19 and stop its spread.,Multiple Sources,,Snopes.com,snopes.com,https://www.snopes.com/fact-check/hair-dryer-coronavirus/,2020-03-17T11:56:00Z,FALSE,en,"No, a Hair Dryer Won't Stop Coronavirus 17 March 2020 Fact Check ..."
China has closed down its last coronavirus hospital. Not enough new cases to support them.,Facebook user,2020-03-17T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/good-news-coronavirus/,2020-03-30T00:00:00Z,This is correct. The last hospitals closed at the start of March 2020.,en,
All seven patients who were getting treated for Covid-19 at Safdarjung hospital in New Delhi have recovered.,facebook user,2020-03-17T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/good-news-coronavirus/,2020-03-30T00:00:00Z,"There is a news story reporting that seven patients in this hospital in New Delhi had recovered. However, these were not the only Covid-19 patients in the city.",en,
Plasma from newly recovered patients from Covid -19 can treat others infected by Covid-19.,Facebook user,2020-03-17T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/good-news-coronavirus/,2020-03-30T00:00:00Z,"This is being used as a treatment in some countries, but clinical trials have not yet proved that this is effective.",en,
Researchers at the Erasmus Medical Center claim to have found an antibody against coronavirus.,Facebook user,2020-03-17T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/good-news-coronavirus/,2020-03-30T00:00:00Z,"Researchers in the Netherlands have released research, which has not yet been peer-reviewed, on an antibody against the new coronavirus.",en,
"Italy is hit hard, experts say, only because they have the oldest population in Europe.",facebook user,2020-03-17T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/good-news-coronavirus/,2020-03-30T00:00:00Z,"Whilst it is true that an older population has contributed to a high number of deaths in Italy, it may not be the sole reason.",en,
Three Maryland coronavirus patients fully recovered and are able to return to everyday life.,facebook user,2020-03-17T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/good-news-coronavirus/,2020-03-30T00:00:00Z,"Correct. On 13 March 2020, Montgomery County, Maryland confirmed that three residents who previously had the virus no longer tested positive.",en,
Apple has reopened all 42 China stores.,Facebook user,2020-03-17T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/good-news-coronavirus/,2020-03-30T00:00:00Z,"Correct. On 13 March 2020, Apple announced that it had reopened all 42 stores in mainland China after a closure of almost six weeks.",en,
A network of Canadian scientists are making excellent progress in Covid-19 research.,facebook user,2020-03-17T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/good-news-coronavirus/,2020-03-30T00:00:00Z,At least one group of Canadian scientists has recently announced some progress in understanding Covid-19.,en,
"A 103 year-old Chinese grandmother has made a full recovery from Covid-19 after being treated for 6 days in Wuhan, China",Facebook user,2020-03-17T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/good-news-coronavirus/,2020-03-30T00:00:00Z,This has been widely reported in the media.,en,
The number of new cases in South Korea is declining.,facebook user,2020-03-17T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/good-news-coronavirus/,2020-03-30T00:00:00Z,"This was correct when the viral post began to appear. Reported new cases declined from their peak in late February, and have been roughly level since mid-March",en,
A San Diego biotech company is developing a Covid-19 vaccine in collaboration with Duke University and National University of Singapore.,facebook user,2020-03-17T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/good-news-coronavirus/,2020-03-30T00:00:00Z,"This is correct. The company, Arcturus Therapeutics, announced on 4 March 2020 that it would be working on a vaccine with DukeNUS Medical School in Singapore.",en,
"Cleveland Clinic developed a Covid-19 test that gives results in hours, not days.",Facebook user,2020-03-17T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/good-news-coronavirus/,2020-03-30T00:00:00Z,"This is incorrect. The clinic announced that it is able to speed up Covid-19 testing after developing the ability to test on-site, but it had not developed a new test.",en,
Scientists in Israel are likely to announce the development of a coronavirus vaccine.,facebook user,2020-03-17T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/good-news-coronavirus/,2020-03-30T00:00:00Z,"Scientists in Israel and elsewhere are working on developing a vaccination to prevent the spread of the new coronavirus, but it won’t be ready for the public for over a year.",en,
"Doctors in India have been successful in treating coronavirus with a combination of drugs (Lopinavir, Retonovir, Oseltamivir along with Chlorphenamine) and are going to suggest the same medicine globally.",Facebook user,2020-03-17T00:00:00Z,Full Fact,fullfact.org,https://fullfact.org/online/good-news-coronavirus/,2020-03-30T00:00:00Z,"India’s ministry of health has advised that the anti-HIV drugs, Lopinavir and Retonovir, are used in some groups of Covid-19 patients. But it is unclear how successful this treatment has been. The other two drugs from the claim are not mentioned in their guidance.",en,
"Tulsa County's first positive Covid-19 case has recovered. This individual has had two negative tests, which is the indicator of recovery.",,,Full Fact,fullfact.org,https://fullfact.org/online/good-news-coronavirus/,2020-03-30T00:00:00Z,"Correct, this patient has recovered according to official Tulsa County sources. Two negative tests is one of three official indicators of recovery among people with Covid-19 (who showed symptoms).",en,
"""[T]hey don't even have a test kit [for COVID-19]. A test kit to determine whether or not someone has the disease.""",Joe Biden,2020-03-01T00:00:00Z,FactCheck.org,factcheck.org,https://www.factcheck.org/2020/03/the-facts-on-coronavirus-testing/,2020-03-10T22:15:52Z,FALSE,en,The Facts on Coronavirus Testing
"""Anybody that wants a test [for COVID-19] can get a test. That’s what the bottom line is. ... Anybody right now and yesterday — anybody that needs a test gets a test. We — they’re there. They have the tests. And the tests are beautiful. Anybody that needs a test gets a test.""",Donald Trump,2020-03-06T00:00:00Z,FactCheck.org,factcheck.org,https://www.factcheck.org/2020/03/the-facts-on-coronavirus-testing/,2020-03-10T22:15:52Z,Exaggerates,en,The Facts on Coronavirus Testing
A coronavirus vaccine for cows shows that the virus behind the current outbreak is not new.,,,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-cows/,2020-03-10T00:00:00Z,"This is a different coronavirus from SARS-CoV-2, the virus that causes Covid-19. Coronaviruses are a large family of viruses that can affect a range of species.",en,
A list documents U.S. President Donald Trump's various statements about the spread of COVID-19 coronavirus disease.,,,Snopes.com,snopes.com,https://www.snopes.com/fact-check/timeline-trump-covid19-responses/,2020-03-18T13:02:00Z,Mostly True,en,Is This Timeline of Trump's Coronavirus Responses Accurate?
This new virus is not heat-resistant and will be killed by a temperature of just 26/27 degrees. It hates the Sun.,,,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-claims-symptoms-viral/,2020-03-05T00:00:00Z,"There’s no evidence for this. There’s evidence that similar viruses transmit less well in the heat, but many countries with reported Covid-19 cases are experiencing temperatures higher than this.",en,
Drinking warm water is effective for all viruses. Try not to drink liquids with ice.,,,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-claims-symptoms-viral/,2020-03-05T00:00:00Z,There’s no evidence that the temperature of liquids consumed can either protect you from or cure diseases caused by viruses.,en,
"If you have a runny nose and sputum, you have a common cold, not Covid-19.",,,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-claims-symptoms-viral/,2020-03-05T00:00:00Z,"These are the symptoms for the common cold, but they don’t rule out Covid-19.",en,
You should also gargle as a prevention. A simple solution of salt in warm water will suffice.,,,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-claims-symptoms-viral/,2020-03-05T00:00:00Z,There’s no evidence that this works as a preventative or a cure for the virus.,en,
Coronavirus pneumonia is a dry cough with no runny nose.,,,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-claims-symptoms-viral/,2020-03-05T00:00:00Z,"Some Covid-19 patients do get pneumonia, and one of the symptoms is a dry cough. A runny nose doesn’t rule out Covid-19.",en,
"The symptoms of Covid-19 are that it first infects the throat, so you’ll have a sore throat lasting 3 or 4 days. The virus then blends into nasal fluid that enters the trachea and then the lungs causing pneumonia. This takes about 5 or 6 days. With pneumonia comes high fever and difficulty breathing",,,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-claims-symptoms-viral/,2020-03-05T00:00:00Z,"This is a roughly accurate description of the most common symptoms, although not everyone with Covid-19 gets pneumonia, and the symptoms may not come in this exact order or at these times.",en,
If it drops on a metal surface it will live for at least 12 hours - so if you come into contact with any metal surface - wash your hands as soon as you can with a bacterial soap.,,,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-claims-symptoms-viral/,2020-03-05T00:00:00Z,We don’t know how long the virus survives on surfaces yet—it may be between hours and days.,en,
Wash your hands frequently as the virus can only live on your hands for 5-10 minutes.,,,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-claims-symptoms-viral/,2020-03-05T00:00:00Z,"We don’t know how long the virus can last on the skin, especially not down to the minute. But you should regularly wash your hands.",en,
"If someone with the new coronavirus sneezes, it travels about 10 feet before it drops to the ground and is no longer airborne",,,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-claims-symptoms-viral/,2020-03-05T00:00:00Z,"How far the droplets spread from a sneeze depends on environmental factors, but it is likely to be several metres.",en,
On fabric it can survive for 6-12 hours. normal laundry detergent will kill it.,,,Full Fact,fullfact.org,https://fullfact.org/online/coronavirus-claims-symptoms-viral/,2020-03-05T00:00:00Z,There’s no evidence yet that the virus can survive in clothing and be transmitted this way. Any soiled clothing should be thoroughly washed.,en,
"""To keep new cases from entering our shores, we will be suspending all travel from Europe to the United States for the next 30 days.""",Donald Trump,2020-03-11T00:00:00Z,FactCheck.org,factcheck.org,https://www.factcheck.org/2020/03/factchecking-trumps-coronavirus-address/,,False. Not All Travel.,en,FactChecking Trump's Coronavirus Address
"""We need the Wall more than ever"" to stop the spread of coronavirus.",Donald J. Trump,2020-03-09T00:00:00Z,The New York Times,nytimes.com,https://www.nytimes.com/2020/03/05/us/politics/trump-coronavirus-fact-check.html,2020-03-05T00:00:00Z,False.,en,Fact-Checking President Trump's Claims on the Coronavirus
“The United States is right now ranked by far No. 1 in the world for preparedness.”,Donald J. Trump,2020-03-02T00:00:00Z,The New York Times,nytimes.com,https://www.nytimes.com/2020/03/05/us/politics/trump-coronavirus-fact-check.html,2020-03-05T00:00:00Z,This is misleading.,en,Fact-Checking President Trump's Claims on the Coronavirus
"""Nobody had ever even heard of Ebola or ever conceived of something where you basically — the people would disintegrate....The level of death with Ebola — you know, at the time, it was a virtual hundred percent.”",Donald J. Trump,2020-02-25T00:00:00Z,The New York Times,nytimes.com,https://www.nytimes.com/2020/03/05/us/politics/trump-coronavirus-fact-check.html,2020-03-05T00:00:00Z,This is exaggerated.,en,Fact-Checking President Trump's Claims on the Coronavirus
"""You lose 27,000 people to the common flu.”",Donald J. Trump,2020-03-02T00:00:00Z,The New York Times,nytimes.com,https://www.nytimes.com/2020/03/05/us/politics/trump-coronavirus-fact-check.html,2020-03-05T00:00:00Z,"Accurate figures, misleading comparison",en,Fact-Checking President Trump's Claims on the Coronavirus
"Insurers ""have agreed to waive all co-payments for coronavirus treatments""",Donald J. Trump,2020-03-11T00:00:00Z,The New York Times,nytimes.com,https://www.nytimes.com/2020/03/05/us/politics/trump-coronavirus-fact-check.html,2020-03-05T00:00:00Z,This is exaggerated.,en,Fact-Checking President Trump's Claims on the Coronavirus
"""It took Barack Obama until October of 2009 to declare Swine Flu a National Health Emergency. It began in April of ’09 but Obama waited until 20,000 people in the US had been hospitalized & 1,000+ had died.""",Charlie Kirk,2020-03-09T00:00:00Z,The New York Times,nytimes.com,https://www.nytimes.com/2020/03/05/us/politics/trump-coronavirus-fact-check.html,2020-03-05T00:00:00Z,False.,en,Fact-Checking President Trump's Claims on the Coronavirus
"""I closed down the borders to China and to other areas that are very badly affected and really having a lot of troubles ...against the advice of almost everybody.”",Donald J. Trump,2020-03-05T00:00:00Z,The New York Times,nytimes.com,https://www.nytimes.com/2020/03/05/us/politics/trump-coronavirus-fact-check.html,2020-03-05T00:00:00Z,This is exaggerated.,en,Fact-Checking President Trump's Claims on the Coronavirus
"""We’ve gotten the highest poll numbers of anybody for this kind of thing.”",Donald J. Trump,2020-03-05T00:00:00Z,The New York Times,nytimes.com,https://www.nytimes.com/2020/03/05/us/politics/trump-coronavirus-fact-check.html,2020-03-05T00:00:00Z,This is misleading.,en,Fact-Checking President Trump's Claims on the Coronavirus
"""Anybody that needs a test can have a test.""",Donald J. Trump,2020-03-06T00:00:00Z,The New York Times,nytimes.com,https://www.nytimes.com/2020/03/05/us/politics/trump-coronavirus-fact-check.html,2020-03-05T00:00:00Z,False.,en,Fact-Checking President Trump's Claims on the Coronavirus
"""The Obama administration made a decision on testing and that turned out to be very detrimental to what we’re doing, and we undid that decision a few days ago.”",Donald J. Trump,2020-03-04T00:00:00Z,The New York Times,nytimes.com,https://www.nytimes.com/2020/03/05/us/politics/trump-coronavirus-fact-check.html,2020-03-05T00:00:00Z,This is misleading.,en,Fact-Checking President Trump's Claims on the Coronavirus
"Coronavirus cases are ""going very substantially down, not up.""",Donald J. Trump,2020-02-26T00:00:00Z,The New York Times,nytimes.com,https://www.nytimes.com/2020/03/05/us/politics/trump-coronavirus-fact-check.html,2020-03-05T00:00:00Z,FALSE,en,Fact-Checking President Trump's Claims on the Coronavirus
"""They’re going to have vaccines, I think, relatively soon.""",Donald J. Trump,2020-03-02T00:00:00Z,The New York Times,nytimes.com,https://www.nytimes.com/2020/03/05/us/politics/trump-coronavirus-fact-check.html,2020-03-05T00:00:00Z,FALSE,en,Fact-Checking President Trump's Claims on the Coronavirus
"“There’s a theory that, in April, when it gets warm — historically, that has been able to kill the virus. So we don’t know yet; we’re not sure yet.”",Donald J. Trump,2020-02-14T00:00:00Z,The New York Times,nytimes.com,https://www.nytimes.com/2020/03/05/us/politics/trump-coronavirus-fact-check.html,2020-03-05T00:00:00Z,This is disputed.,en,Fact-Checking President Trump's Claims on the Coronavirus
Children can’t get the new coronavirus.,,,Full Fact,fullfact.org,https://fullfact.org/health/children-can-get-coronavirus/,2020-03-05T00:00:00Z,"Children can get Covid-19 but there have been relatively few cases in children and in general, their symptoms tend to be milder.",en,
